Country Code;Indicator Name;Indicator Code;2019
ABW;GDP (current US$);NY.GDP.MKTP.CD;
AFG;GDP (current US$);NY.GDP.MKTP.CD;19291104008
AGO;GDP (current US$);NY.GDP.MKTP.CD;88815697793
ALB;GDP (current US$);NY.GDP.MKTP.CD;15279183290
AND;GDP (current US$);NY.GDP.MKTP.CD;3154057987
ARB;GDP (current US$);NY.GDP.MKTP.CD;2.82E+12
ARE;GDP (current US$);NY.GDP.MKTP.CD;4.21E+11
ARG;GDP (current US$);NY.GDP.MKTP.CD;4.45E+11
ARM;GDP (current US$);NY.GDP.MKTP.CD;13672802158
ASM;GDP (current US$);NY.GDP.MKTP.CD;
ATG;GDP (current US$);NY.GDP.MKTP.CD;1661962963
AUS;GDP (current US$);NY.GDP.MKTP.CD;1.40E+12
AUT;GDP (current US$);NY.GDP.MKTP.CD;4.45E+11
AZE;GDP (current US$);NY.GDP.MKTP.CD;48047647059
BDI;GDP (current US$);NY.GDP.MKTP.CD;3012334882
BEL;GDP (current US$);NY.GDP.MKTP.CD;5.33E+11
BEN;GDP (current US$);NY.GDP.MKTP.CD;14390709095
BFA;GDP (current US$);NY.GDP.MKTP.CD;15990803570
BGD;GDP (current US$);NY.GDP.MKTP.CD;3.03E+11
BGR;GDP (current US$);NY.GDP.MKTP.CD;68558815112
BHR;GDP (current US$);NY.GDP.MKTP.CD;38574069149
BHS;GDP (current US$);NY.GDP.MKTP.CD;13578800000
BIH;GDP (current US$);NY.GDP.MKTP.CD;20164193807
BLR;GDP (current US$);NY.GDP.MKTP.CD;63080457023
BLZ;GDP (current US$);NY.GDP.MKTP.CD;1879613600
BMU;GDP (current US$);NY.GDP.MKTP.CD;7484113000
BOL;GDP (current US$);NY.GDP.MKTP.CD;40895322844
BRA;GDP (current US$);NY.GDP.MKTP.CD;1.84E+12
BRB;GDP (current US$);NY.GDP.MKTP.CD;5209000000
BRN;GDP (current US$);NY.GDP.MKTP.CD;13469422959
BTN;GDP (current US$);NY.GDP.MKTP.CD;2530547158
BWA;GDP (current US$);NY.GDP.MKTP.CD;18340480936
CAF;GDP (current US$);NY.GDP.MKTP.CD;2220307369
CAN;GDP (current US$);NY.GDP.MKTP.CD;1.74E+12
CEB;GDP (current US$);NY.GDP.MKTP.CD;1.67E+12
CHE;GDP (current US$);NY.GDP.MKTP.CD;7.03E+11
CHI;GDP (current US$);NY.GDP.MKTP.CD;
CHL;GDP (current US$);NY.GDP.MKTP.CD;2.82E+11
CHN;GDP (current US$);NY.GDP.MKTP.CD;1.43E+13
CIV;GDP (current US$);NY.GDP.MKTP.CD;58539424930
CMR;GDP (current US$);NY.GDP.MKTP.CD;39007354359
COD;GDP (current US$);NY.GDP.MKTP.CD;50400746171
COG;GDP (current US$);NY.GDP.MKTP.CD;12267392147
COL;GDP (current US$);NY.GDP.MKTP.CD;3.24E+11
COM;GDP (current US$);NY.GDP.MKTP.CD;1165839927
